# Images in the Weather wallpaper. Public domain, CC0 or CC BY; CC BY requires this attribution.
# file	subject	author	licence	source
weather-moon.png	The Moon's near side, from LRO's colour map (CGI Moon Kit)	NASA Scientific Visualization Studio (Ernie Wright)	Public domain	https://svs.gsfc.nasa.gov/4720
weather-ground.heic	Fort Ord National Monument, California: green hills and oak woodland on an overcast May morning (sky cut out, stray low cloud removed)	Bureau of Land Management California	Public domain	https://commons.wikimedia.org/wiki/File:Fort_Ord_National_Monument_(52977782605).jpg
weather-ground-aux.png	Log distance (red, estimated with Apple's Core ML Depth Anything V2 Small, Apache-2.0) and trees (green) for the ground photo, derived from it	Atrium	Public domain	(derived from weather-ground.heic)
weather-cloud-cu-humilis-1.heic	Small cumulus, kloofendal_48d sky (cut out)	Greg Zaal, Jarod Guest (Poly Haven)	CC0	https://polyhaven.com/a/kloofendal_48d_partly_cloudy_puresky
weather-cloud-cu-humilis-2.heic	Small cumulus 2, kloofendal_48d sky (cut out)	Greg Zaal, Jarod Guest (Poly Haven)	CC0	https://polyhaven.com/a/kloofendal_48d_partly_cloudy_puresky
weather-cloud-cu-mediocris-1.heic	Cumulus mediocris, kloofendal_48d sky (cut out)	Greg Zaal, Jarod Guest (Poly Haven)	CC0	https://polyhaven.com/a/kloofendal_48d_partly_cloudy_puresky
weather-cloud-cu-mediocris-2.heic	Cumulus mediocris 2, kloofendal_48d sky (cut out)	Greg Zaal, Jarod Guest (Poly Haven)	CC0	https://polyhaven.com/a/kloofendal_48d_partly_cloudy_puresky
weather-cloud-cu-flat-1.heic	Flat-based cumulus, kloofendal_48d sky (cut out)	Greg Zaal, Jarod Guest (Poly Haven)	CC0	https://polyhaven.com/a/kloofendal_48d_partly_cloudy_puresky
weather-cloud-cu-sidelit-1.heic	Side-lit cumulus, kloofendal_48d sky (cut out)	Greg Zaal, Jarod Guest (Poly Haven)	CC0	https://polyhaven.com/a/kloofendal_48d_partly_cloudy_puresky
weather-cloud-cu-humilis-3.heic	Small cumulus, sunflowers sky (cut out)	Greg Zaal, Jarod Guest (Poly Haven)	CC0	https://polyhaven.com/a/sunflowers_puresky
weather-cloud-cu-mediocris-3.heic	Cumulus mediocris, sunflowers sky (cut out)	Greg Zaal, Jarod Guest (Poly Haven)	CC0	https://polyhaven.com/a/sunflowers_puresky
weather-cloud-cu-congestus-3.heic	Cumulus congestus over Gåseberg (cut out)	W.carter	CC0	https://commons.wikimedia.org/wiki/File:Cumulus_congestus_over_G%C3%A5seberg_4.jpg
